ordinal,uid,model,gsim,weight
0,b1~b11_b21_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abrah,0.00195312
1,b1~b11_b21_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() Abr,0.00195312
2,b1~b11_b21_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Abrahamso,0.00195312
3,b1~b11_b21_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadia(,0.00195312
4,b1~b11_b21_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Abrahamson,0.00195312
5,b1~b11_b21_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Abrahams,0.00195312
6,b1~b11_b21_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl,0.00195312
7,b1~b11_b21_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Abr,0.00195312
8,b1~b11_b21_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Ab,0.00195312
9,b1~b11_b21_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() ,0.00195312
10,b1~b11_b21_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abraha,0.00195312
11,b1~b11_b21_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascad,0.00195312
12,b1~b11_b21_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abrahams,0.00195312
13,b1~b11_b21_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.00195312
14,b1~b11_b21_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.00195312
15,b1~b11_b21_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() A,0.00195312
16,b1~b11_b22_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abr,0.00195312
17,b1~b11_b22_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() A,0.00195312
18,b1~b11_b22_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Abraham,0.00195312
19,b1~b11_b22_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadi,0.00195312
20,b1~b11_b22_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Abrahams,0.00195312
21,b1~b11_b22_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.00195312
22,b1~b11_b22_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.00195312
23,b1~b11_b22_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() A,0.00195312
24,b1~b11_b22_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() ,0.00195312
25,b1~b11_b22_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia(,0.00195312
26,b1~b11_b22_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abra,0.00195312
27,b1~b11_b22_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCasc,0.00195312
28,b1~b11_b22_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abraha,0.00195312
29,b1~b11_b22_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Abra,0.00195312
30,b1~b11_b22_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() GarciaEtAl2005SSlab() Abrahamson,0.00195312
31,b1~b11_b22_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia(),0.00195312
32,b1~b11_b23_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() AbrahamsonE,0.00195312
33,b1~b11_b23_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() Abrahamso,0.00195312
34,b1~b11_b23_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl2,0.00195312
35,b1~b11_b23_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadia() Abra,0.00195312
36,b1~b11_b23_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() BooreEtAl2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtAl20,0.00195312
37,b1~b11_b23_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonEtAl,0.00195312
38,b1~b11_b23_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl2014(),0.00195312
39,b1~b11_b23_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Abrahamso,0.00195312
40,b1~b11_b23_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Abrahams,0.00195312
41,b1~b11_b23_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.00195312
42,b1~b11_b23_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() CampbellBozorgnia2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.00195312
43,b1~b11_b23_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascadia() A,0.00195312
44,b1~b11_b23_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtAl,0.00195312
45,b1~b11_b23_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonEt,0.00195312
46,b1~b11_b23_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() ChiouYoungs2014() GarciaEtAl2005SSlab() AbrahamsonEtAl2014,0.00195312
47,b1~b11_b23_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() AtkinsonMacias2009() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() Abraham,0.00195312
48,b1~b11_b24_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() A,0.00195312
49,b1~b11_b24_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia(),0.00195312
50,b1~b11_b24_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() Abrah,0.00195312
51,b1~b11_b24_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCasca,0.00195312
52,b1~b11_b24_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() Abraha,0.00195312
53,b1~b11_b24_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() Abra,0.00195312
54,b1~b11_b24_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() BooreEtAl2014() GarciaEtAl2005SSlab() Abrahamson,0.00195312
55,b1~b11_b24_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia(),0.00195312
56,b1~b11_b24_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab(,0.00195312
57,b1~b11_b24_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadi,0.00195312
58,b1~b11_b24_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Ab,0.00195312
59,b1~b11_b24_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCa,0.00195312
60,b1~b11_b24_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() Abra,0.00195312
61,b1~b11_b24_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Ab,0.00195312
62,b1~b11_b24_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() ChiouYoungs2014() GarciaEtAl2005SSlab() Abrahams,0.00195312
63,b1~b11_b24_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,AbrahamsonEtAl2014() GhofraniAtkinson2014Cascadia() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia,0.00195312
64,b1~b12_b21_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abrahamson,0.00195312
65,b1~b12_b21_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() Abrahams,0.00195312
66,b1~b12_b21_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl,0.00195312
67,b1~b12_b21_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadia() Abr,0.00195312
68,b1~b12_b21_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtAl2,0.00195312
69,b1~b12_b21_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonEtA,0.00195312
70,b1~b12_b21_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl2014(,0.00195312
71,b1~b12_b21_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Abrahams,0.00195312
72,b1~b12_b21_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Abraham,0.00195312
73,b1~b12_b21_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() Abrah,0.00195312
74,b1~b12_b21_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() GarciaEtAl2005SSlab() AbrahamsonE,0.00195312
75,b1~b12_b21_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascadia() ,0.00195312
76,b1~b12_b21_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtA,0.00195312
77,b1~b12_b21_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonE,0.00195312
78,b1~b12_b21_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() GarciaEtAl2005SSlab() AbrahamsonEtAl201,0.00195312
79,b1~b12_b21_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AbrahamsonEtAl2015SInter() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() Abraha,0.00195312
80,b1~b12_b22_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() Abrahams,0.00195312
81,b1~b12_b22_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() Abraha,0.00195312
82,b1~b12_b22_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEt,0.00195312
83,b1~b12_b22_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadia() A,0.00195312
84,b1~b12_b22_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtA,0.00195312
85,b1~b12_b22_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonE,0.00195312
86,b1~b12_b22_b32_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl201,0.00195312
87,b1~b12_b22_b32_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() BooreEtAl2014() AtkinsonBoore2003SSlabCascadia() Abraha,0.00195312
88,b1~b12_b22_b33_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AbrahamsonEtAl2015SSlab() Abrah,0.00195312
89,b1~b12_b22_b33_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() ZhaoEtAl2006SSlabCascadia() Abr,0.00195312
90,b1~b12_b22_b33_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() GarciaEtAl2005SSlab() Abrahamso,0.00195312
91,b1~b12_b22_b33_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() CampbellBozorgnia2014() AtkinsonBoore2003SSlabCascadia(,0.00195312
92,b1~b12_b22_b34_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AbrahamsonEtAl2015SSlab() AbrahamsonE,0.00195312
93,b1~b12_b22_b34_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() ZhaoEtAl2006SSlabCascadia() Abrahamso,0.00195312
94,b1~b12_b22_b34_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() GarciaEtAl2005SSlab() AbrahamsonEtAl2,0.00195312
95,b1~b12_b22_b34_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() ZhaoEtAl2006SInterCascadia() ChiouYoungs2014() AtkinsonBoore2003SSlabCascadia() Abra,0.00195312
96,b1~b12_b23_b31_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtAl20,0.00195312
97,b1~b12_b23_b31_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonEtAl,0.00195312
98,b1~b12_b23_b31_b43_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() GarciaEtAl2005SSlab() AbrahamsonEtAl2014(),0.00195312
99,b1~b12_b23_b31_b44_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AtkinsonMacias2009() AbrahamsonEtAl2014() AtkinsonBoore2003SSlabCascadia() Abrahamso,0.00195312
100,b1~b12_b23_b32_b41_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AtkinsonMacias2009() BooreEtAl2014() AbrahamsonEtAl2015SSlab() AbrahamsonEtAl2014() ,0.00195312
101,b1~b12_b23_b32_b42_@_b71,2015_H_modelcollapsed_faults.xml,BooreEtAl2014() AtkinsonMacias2009() BooreEtAl2014() ZhaoEtAl2006SSlabCascadia() AbrahamsonEtAl2014(,0.00195312
